Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/Rolex/Deepsea/126660/35647/item/219271,Rolex,Deepsea,Deepsea,126660,GBP,13665.00,13665.00,Retail Price: Discontinued,,"
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
219271
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Black
","
Water resistance
3900 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Yacht-Master/126622/43696/item/218952,Rolex,Yacht-Master,Yacht-Master,126622,GBP,17215.00,17215.00,"Retail Price: £9,800",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
218952
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Platinum & Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Blue
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Yacht-Master/126622/43697/item/218975,Rolex,Yacht-Master,Yacht-Master,126622,GBP,17030.00,17030.00,"Retail Price: £9,800",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
218975
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Platinum & Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Rhodium
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",https://images.watchfinder.co.uk/imgv2/catalogue/43697/Rolex-Yacht-Master-126622-43697-200115-091709-.jpg;quality=90;h=250,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Hublot/Big%20Bang/312.CM.1120.RX/18688/item/212001,Hublot,Big Bang,Big Bang,312.CM.1120.RX,GBP,7195.00,7195.00,Retail Price: Discontinued," Black 
","
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
212001
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Ceramic - Black
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Hublot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/Seamaster%20300m/210.90.42.20.01.001/45857/item/217004,Omega,Seamaster 300m,Seamaster 300m,210.90.42.20.01.001,GBP,8030.00,8030.00,"Retail Price: £8,230",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
217004
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Titanium
","
Bracelet material
Titanium
","
Dial type
Brown
","
Water resistance
300 metres
","This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/116713%20LN/4446/item/211844,Rolex,GMT Master II,GMT Master II,116713 LN,GBP,13750.00,13750.00,Retail Price: Discontinued,,"
Year
 2007
","
Box
No
","

Papers


Yes
","
Product code
211844
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel & Yellow Gold
","
Bracelet material
Steel & Yellow Gold (OysterLock)
","
Dial type
Black
","
Water resistance
100 metres
","
                            The GMT Master was first commissioned in the 1950s by pioneering airline Pan Am, and was designed for aviation. An increase in flight distances created demand for a watch that was able to tell the time in two different parts of the world simultaneously, so Rolex built it with an additional hand that could be set to a second time zone. By the 1980s, the watch had developed into the GMT Master II and was already a favourite among collectors. This model represents a significant upgrade for the watch, boasting an aerospace-grade steel case and cerachrom inserts in the bezel. A variant on the regular 116710, this reference features gold elements in the bezel, crown, hands, indices and of course the bracelet.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Radiomir%20Manual/PAM00309/54068/item/210165,Panerai,Radiomir Manual,Radiomir Manual,PAM00309,GBP,18950.00,18950.00,Retail Price: Discontinued," Black 
","
Year
 2008
","
Box
Yes
","

Papers


Yes
","
Product code
210165
","

Movement


Manual
","
Case size
47 MM
","
Case material
Titanium
","
Bracelet material
Leather - Black 
","
Dial type
Black Quarter Arabic
","
Water resistance
100 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/218896,Rolex,GMT Master II,GMT Master II,126710 BLNR,GBP,23200.00,23200.00,"Retail Price: £8,400",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
218896
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Black
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Sky-Dweller/326934/51177/item/217965,Rolex,Sky-Dweller,Sky-Dweller,326934,GBP,35195.00,35195.00,"Retail Price: £12,400",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
217965
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel & White Gold
","
Bracelet material
Steel (Jubilee)
","
Dial type
Blue Baton
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Sky-Dweller/326934/34186/item/217845,Rolex,Sky-Dweller,Sky-Dweller,326934,GBP,33995.00,33995.00,"Retail Price: £12,250",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
217845
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel & White Gold
","
Bracelet material
Steel (Oyster)
","
Dial type
Blue Baton
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
