Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/Rolex/Daytona/116508/29755/item/212170,Rolex,Daytona,Daytona,116508,GBP,105000.00,105000.00,"Retail Price: £30,050",,"
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
212170
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Yellow Gold
","
Bracelet material
Yellow Gold (Oyster)
","
Dial type
Green Baton
","
Water resistance
100 metres
","
                            Launched by Rolex in 1963 as a racing chronograph, the Daytona was initially a slow seller, but the post-quartz crisis revival of mechanical watches and a famous association with Hollywood legend Paul Newman—who wore a model bought for him by his wife—has seen it become hugely desirable. Indeed, Newman’s very own watch once held the record for the most expensive wristwatch sold at auction. Once a manual-wind watch that relied on outsourced movements, the Daytona has been automatic since 1988, and is now powered by Rolex’s in-house caliber 4130, a superlative chronometer that holds a power reserve of 72 hours. This incredible 40mm model in 18ct yellow gold features a spellbinding dark green dial that stands out beautifully within the gold bezel. It’s a spectacular timepiece that is currently one of the most sought-after models around.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Vacheron%20Constantin/Traditionelle/47292/000R-9392/29923/item/130111,Vacheron Constantin,Traditionelle,Traditionelle,47292/000R-9392,GBP,73175.00,73175.00,Retail Price: Discontinued," Brown 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
130111
","

Movement


Manual
","
Case size
43 MM
","
Case material
Pink Gold
","
Bracelet material
Alligator - Brown 
","
Dial type
Silver Baton
","
Water resistance
30 metres
","
                            Describing its aesthetic as elegant, simple and creative, Vacheron Constantin has continually aimed to enhance and reinvent the art of fine watchmaking since its introduction over 265 years ago. The oldest Swiss watchmakers in continuous operation, it has cemented its place within the top three watchmakers in the world. Encapsulating that aesthetic, this 18-karat gold piece boasts an array of features on its dial. These comprise a leap year indicator between 1 and 2 o'clock, 30-minute recorder at 3 o'clock, date and moon phase display at 6 o'clock, small seconds at 9 o'clock and day and month windows at 12 o'clock. The manual wind movement—the Vacheron Constantin Calibre 1141 QP—is also perfectly displayed through the open case back. This watch is perfect for those after a timepiece packed full of features from one of the world’s best watchmakers.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Vacheron%20Constantin/Harmony/7810S/000G-B142/50235/item/182173,Vacheron Constantin,Harmony,Harmony,7810S/000G-B142,GBP,18990.00,18990.00,Retail Price: Discontinued," Black
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
182173
","

Movement


Automatic
","
Case size
40 MM
","
Case material
White Gold
","
Bracelet material
Alligator - Black
","
Dial type
Silver Arabic
","
Water resistance
30 metres
","This Vacheron Constantin has undergone a thorough inspection of accuracy, functionality and condition at our Vacheron Constantin certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Jaeger-LeCoultre/Grande%20Reverso/3732520/55045/item/217175,Jaeger-LeCoultre,Grande Reverso,Grande Reverso,3732520,GBP,10000.00,10000.00,Retail Price: Discontinued," Black
","
Year
Approx.  2017
","
Box
Yes
","

Papers


No
","
Product code
217175
","

Movement


Manual
","
Case size
30 MM
","
Case material
Rose Gold
","
Bracelet material
Crocodile - Black
","
Dial type
Silver Arabic
","
Water resistance
30 metres
","This Jaeger-LeCoultre has undergone a thorough inspection of accuracy, functionality and condition at our Jaeger-LeCoultre certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Ballon%20Bleu/W69012Z4/13083/item/205547,Cartier,Ballon Bleu,Ballon Bleu,W69012Z4,GBP,4400.00,4400.00,Retail Price: Discontinued,,"
Year
 2014
","
Box
Yes
","

Papers


Yes
","
Product code
205547
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","
                            The Ballon Bleu, one of Cartier's newest watch collections, has been hugely successful since its 2007 release. With a unique, curving, organic case, a cleverly integrated sapphire crown and a multi-facetted guilloché dial, the watch can rightly be called a gem in every sense, blending the best of classical elegance and futuristic originality. Creating beauty through simplicity, the watch showcases everything that makes Cartier such a prestigious and highly-sought brand. This model uses a superb Swiss automatic movement underneath the traditional Roman numerals and blue sword hands on the dial. It's a timepiece that has to been seen in the flesh to get the full effect.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/IWC/Portugieser%20Chrono/IW371604/47836/item/214275,IWC,Portugieser Chrono,Portugieser Chrono,IW371604,GBP,5850.00,5850.00,"Retail Price: £7,450"," Black
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
214275
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Silver Arabic
","
Water resistance
30 metres
","This IWC has undergone a thorough inspection of accuracy, functionality and condition at our IWC certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Datejust%20Lady/79174/22860/item/213348,Rolex,Datejust Lady,Datejust Lady,79174,GBP,5250.00,5250.00,Retail Price: Discontinued,,"
Year
 2000
","
Box
Yes
","

Papers


Yes
","
Product code
213348
","

Movement


Automatic
","
Case size
26 MM
","
Case material
Steel & White Gold
","
Bracelet material
Steel (Jubilee)
","
Dial type
Rhodium Roman Numeral
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Datejust%20Lady/69174/54268/item/213435,Rolex,Datejust Lady,Datejust Lady,69174,GBP,4950.00,4950.00,Retail Price: Discontinued,,"
Year
 1988
","
Box
Yes
","

Papers


Yes
","
Product code
213435
","

Movement


Automatic
","
Case size
26 MM
","
Case material
Steel & White Gold
","
Bracelet material
Steel (Jubilee)
","
Dial type
Silver Linen Baton
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Mid-Size%20Datejust/78274/54802/item/214945,Rolex,Mid-Size Datejust,Mid-Size Datejust,78274,GBP,6950.00,6950.00,Retail Price: Discontinued,,"
Year
 2003
","
Box
Yes
","

Papers


Yes
","
Product code
214945
","

Movement


Automatic
","
Case size
31 MM
","
Case material
Steel & White Gold
","
Bracelet material
Steel (Jubilee)
","
Dial type
Mother of Pearl White Roman Numeral
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Franck%20Muller/Master%20Banker/8880%20MB%20l%20DT/53156/item/203752,Franck Muller,Master Banker,Master Banker,8880 MB l DT,GBP,18750.00,18750.00,Retail Price: Discontinued," Black
","
Year
Approx.  2017
","
Box
Yes
","

Papers


No
","
Product code
203752
","

Movement


Automatic
","
Case size
39 MM
","
Case material
White Gold
","
Bracelet material
Alligator - Black
","
Dial type
Black Arabic
","
Water resistance
None
","This Franck Muller has undergone a thorough inspection of accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
