Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/Chanel/J12/H0950/3258/item/200149,Chanel,J12,J12,H0950,GBP,4750.00,4750.00,Retail Price: Discontinued," Black 
","
Year
 2006
","
Box
Yes
","

Papers


Yes
","
Product code
200149
","

Movement


Automatic
","
Case size
38 MM
","
Case material
Ceramic - Black set with Diamonds
","
Bracelet material
Ceramic - Black 
","
Dial type
Black Arabic
","
Water resistance
200 metres
","This Chanel has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Air-King/116900/29608/item/218184,Rolex,Air-King,Air-King,116900,GBP,10500.00,10500.00,Retail Price: Discontinued,,"
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
218184
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Black Arabic
","
Water resistance
100 metres
","
                            The Air King was named in honour of the brave RAF pilots of WWII, when Hans Wilsdorf, founder of Rolex, discovered they were ditching their standard issue watches for his Oyster Perpetual. As one of its longest continuously manufactured and most affordable watches, the Air King is a beloved staple of Rolex's range. At Baselworld 2016, the brand released this superbly updated model. It refreshes the classic look, upgrading size, durability and calibre precision while staying true to its aviation heritage in such key elements as the iconic 1950s Air-King font. Many believe that the dial design is inspired by the custom dashboard timepieces Rolex supplied to the Bloodhound SSC land speed record attempt.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLRO/35644/item/218011,Rolex,GMT Master II,GMT Master II,126710 BLRO,GBP,24995.00,24995.00,"Retail Price: £8,600",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
218011
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Jubilee)
","
Dial type
Black
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Air-King/116900/29608/item/218167,Rolex,Air-King,Air-King,116900,GBP,11205.00,11205.00,Retail Price: Discontinued,,"
Year
 2022
","
Box
Yes
","

Papers


Yes
","
Product code
218167
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Black Arabic
","
Water resistance
100 metres
","
                            The Air King was named in honour of the brave RAF pilots of WWII, when Hans Wilsdorf, founder of Rolex, discovered they were ditching their standard issue watches for his Oyster Perpetual. As one of its longest continuously manufactured and most affordable watches, the Air King is a beloved staple of Rolex's range. At Baselworld 2016, the brand released this superbly updated model. It refreshes the classic look, upgrading size, durability and calibre precision while staying true to its aviation heritage in such key elements as the iconic 1950s Air-King font. Many believe that the dial design is inspired by the custom dashboard timepieces Rolex supplied to the Bloodhound SSC land speed record attempt.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126715%20CHNR/35646/item/216712,Rolex,GMT Master II,GMT Master II,126715 CHNR,GBP,53000.00,53000.00,"Retail Price: £31,550",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
216712
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Rose Gold
","
Bracelet material
Rose Gold (Oyster)
","
Dial type
Black
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126711%20CHNR/35645/item/216304,Rolex,GMT Master II,GMT Master II,126711 CHNR,GBP,27250.00,27250.00,"Retail Price: £12,200",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
216304
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel & Rose Gold
","
Bracelet material
Steel & Rose Gold (Oyster)
","
Dial type
Black
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Day-Date%2036/128238/46489/item/216958,Rolex,Day-Date 36,Day-Date 36,128238,GBP,34995.00,34995.00,"Retail Price: £29,700",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
216958
","

Movement


Automatic
","
Case size
36 MM
","
Case material
Yellow Gold
","
Bracelet material
Yellow Gold (President)
","
Dial type
Dark Grey Diamond
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Day-Date%20II/218235/10509/item/216553,Rolex,Day-Date II,Day-Date II,218235,GBP,73950.00,73950.00,Retail Price: Discontinued,,"
Year
 2009
","
Box
Yes
","

Papers


Yes
","
Product code
216553
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Rose Gold
","
Bracelet material
Rose Gold (President)
","
Dial type
Black set with Rubies & Diamonds
","
Water resistance
100 metres
","
                            Originally introduced in 1956, the Day-Date was the first watch to indicate the day of the week spelt out in full when it was launched, making it an innovative piece. In 2008, Rolex released the Day-Date II, a modern update of the timelessly classic Day-Date, which features a larger case than the original watch. However, this has since been replaced by the Day-Date 40, introduced back in 2015. This Day-Date II, then, features a rose gold bracelet, fluted bezel and case, both effortlessly paired with the black baton dial that features baguette-cut diamond and ruby hour markers. This piece is perfect for those after a little bling, or with a taste for rare and discontinued Rolex models.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Day-Date/118138/27258/item/215989,Rolex,Day-Date,Day-Date,118138,GBP,21750.00,21750.00,Retail Price: Discontinued," Brown 
","
Year
 2018
","
Box
No
","

Papers


Yes
","
Product code
215989
","

Movement


Automatic
","
Case size
36 MM
","
Case material
Yellow Gold
","
Bracelet material
Alligator - Brown 
","
Dial type
Cognac
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Daytona/116515%20LN/25570/item/216552,Rolex,Daytona,Daytona,116515 LN,GBP,57000.00,57000.00,"Retail Price: £24,450"," Black 
","
Year
 2021
","
Box
No
","

Papers


Yes
","
Product code
216552
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Rose Gold
","
Bracelet material
Rubber - Black 
","
Dial type
Rose Baton
","
Water resistance
100 metres
","
                            Launched by Rolex in 1963 as a racing chronograph, the Daytona was initially a slow seller, but the post-quartz crisis revival of mechanical watches and a famous association with Hollywood legend Paul Newman—who wore a model bought for him by his wife—has seen it become hugely desirable. Indeed, Newman’s very own watch once held the record for the most expensive wristwatch sold at auction. Once a manual-wind watch that relied on outsourced movements, the Daytona has been automatic since 1988, and is now powered by Rolex’s in-house caliber 4130, a superlative chronometer that holds a power reserve of 72 hours. This incredible 40mm model in 18k Everose gold features a spellbinding sunburst dial that stands out beautifully within the black bezel. Presented on a black rubber Oysterflex bracelet, this is a spectacular timepiece that is currently one of the most sought-after watches around.
                            
", ,2022-o5-08,RefurbishedCondition
