Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/IWC/Da%20Vinci%20Chronograph/IW376417/44060/item/198862,IWC,Da Vinci Chronograph,Da Vinci Chronograph,IW376417,GBP,9535.00,9535.00,Retail Price: Discontinued," Brown 
","
Year
 2013
","
Box
Yes
","

Papers


Yes
","
Product code
198862
","

Movement


Automatic
","
Case size
42 MM
","
Case material
White Gold
","
Bracelet material
Alligator - Brown 
","
Dial type
Slate
","
Water resistance
30 metres
","This IWC has undergone a thorough inspection of accuracy, functionality and condition at our IWC certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Oris/Big%20Crown%20Pointer%20Date/754%207741%2031%2067%20LS/40589/item/199016,Oris,Big Crown Pointer Date,Big Crown Pointer Date,754 7741 31 67 LS,GBP,1300.00,1300.00,Retail Price: Discontinued," Brown 
","
Year
Approx.  2020
","
Box
Yes
","

Papers


No
","
Product code
199016
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Bronze
","
Bracelet material
Leather - Brown 
","
Dial type
Green Arabic
","
Water resistance
50 metres
","This Oris has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tudor/Heritage%20Black%20Bay/79250BB/33366/item/153872,Tudor,Heritage Black Bay,Heritage Black Bay,79250BB,GBP,3600.00,3600.00,Retail Price: Discontinued," Grey 
","
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
153872
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Bronze
","
Bracelet material
Fabric - Grey 
","
Dial type
Blue Quarter Arabic
","
Water resistance
200 metres
","This Tudor has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/SuperOcean%20Heritage/A13320/9361/item/179314,Breitling,SuperOcean Heritage,SuperOcean Heritage,A13320,GBP,4225.00,4225.00,Retail Price: Discontinued,,"
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
179314
","

Movement


Automatic
","
Case size
46 MM
","
Case material
Steel
","
Bracelet material
Steel (Ocean Classic)
","
Dial type
Black Baton
","
Water resistance
200 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%20Due/PAM00729/35226/item/203226,Panerai,Luminor Due,Luminor Due,PAM00729,GBP,7455.00,7455.00,"Retail Price: £9,800"," Blue 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
203226
","

Movement


Automatic
","
Case size
45 MM
","
Case material
Titanium
","
Bracelet material
Alligator - Blue 
","
Dial type
Blue Quarter Arabic
","
Water resistance
30 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/SuperOcean/A17360/53511/item/193765,Breitling,SuperOcean,SuperOcean,A17360,GBP,2350.00,2350.00,Retail Price: Discontinued," Black (Diver Pro)
","
Year
 2008
","
Box
Yes
","

Papers


Yes
","
Product code
193765
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black (Diver Pro)
","
Dial type
Black Arabic
","
Water resistance
1500 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Navitimer%20Heritage/A13324/35989/item/201980,Breitling,Navitimer Heritage,Navitimer Heritage,A13324,GBP,4150.00,4150.00,Retail Price: Discontinued," Black 
","
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
201980
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Black Baton
","
Water resistance
30 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Navitimer%201959/RB0910/52490/item/203186,Breitling,Navitimer 1959,Navitimer 1959,RB0910,GBP,14950.00,14950.00,"Retail Price: £16,950"," Brown 
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
203186
","

Movement


Manual
","
Case size
41 MM
","
Case material
Rose Gold
","
Bracelet material
Alligator - Brown 
","
Dial type
Black Arabic
","
Water resistance
30 metres
","
                            Breitling’s Navitimer pilot’s watch boasts the proud distinction of being the first Swiss wristwatch and chronograph in space, having been worn by NASA astronaut Scott Carpenter while orbiting the Earth in 1962 on the Mercury-Atlas 7 mission. Launched in 1952, it’s now one of the most recognisable watches around, with its three-register dial ringed with a tachymeter scale and circular aviation slide rule. This particular version in 18k rose gold is limited to 159 pieces and features specially tinted SuperLuminova coating on the hands and numerals to add to the vintage look. It’s powered by the in-house Caliber B09 which holds a power reserve of 70 hours.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Glashutte%20Original/Senator%20Excellence%20Panorama%20Date/1-36-03-01-02-30/47162/item/205357,Glashutte Original,Senator Excellence Panorama Date,Senator Excellence Panorama Date,1-36-03-01-02-30,GBP,6825.00,6825.00,"Retail Price: £8,400"," Black
","
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
205357
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Silver Baton
","
Water resistance
50 metres
","This Glashutte Original has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Avenger%20Bandit/E13383/33140/item/150378,Breitling,Avenger Bandit,Avenger Bandit,E13383,GBP,3960.00,3960.00,"Retail Price: £4,350"," Anthracite
","
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
150378
","

Movement


Automatic
","
Case size
45 MM
","
Case material
Titanium
","
Bracelet material
Fabric - Anthracite
","
Dial type
Grey Arabic
","
Water resistance
300 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
