Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/Tudor/Heritage%20Black%20Bay/79230G/34890/item/193677,Tudor,Heritage Black Bay,Heritage Black Bay,79230G,GBP,4550.00,4550.00,Retail Price: Discontinued,,"
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
193677
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black
","
Water resistance
200 metres
","This Tudor has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%20Submersible/PAM00305/15185/item/203119,Panerai,Luminor Submersible,Luminor Submersible,PAM00305,GBP,6375.00,6375.00,Retail Price: Discontinued," Black 
","
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
203119
","

Movement


Automatic
","
Case size
47 MM
","
Case material
Titanium
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tudor/Black%20Bay/M79030B-0002/47652/item/188784,Tudor,Black Bay,Black Bay,M79030B-0002,GBP,3205.00,3205.00,"Retail Price: £2,680"," Blue 
","
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
188784
","

Movement


Automatic
","
Case size
39 MM
","
Case material
Steel
","
Bracelet material
Leather - Blue 
","
Dial type
Blue Baton
","
Water resistance
200 metres
","This Tudor has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/IWC/Ingenieur/IW322503/27206/item/204986,IWC,Ingenieur,Ingenieur,IW322503,GBP,5800.00,5800.00,Retail Price: Discontinued," Black 
","
Year
 2014
","
Box
Yes
","

Papers


Yes
","
Product code
204986
","

Movement


Automatic
","
Case size
46 MM
","
Case material
Ceramic - Black
","
Bracelet material
Fabric - Black 
","
Dial type
Black Baton
","
Water resistance
120 metres
","
                            Originally an evolution of its early automatics, the IWC Ingenieur was designed to combine the self-winding movement with the shock and magnetic resistance pioneered in some of the brand's pilot's watches. While the concept was successful and enjoyed various upgrades (including input from the legendary Gerald Genta), it was beginning to peter out in the early naughties. Seeking to refresh the collection, IWC partnered with Mercedes' high performance division, AMG, to create a series of cutting-edge timepieces that demonstrated both brands' commitment to the highest precision engineering. This model is made from zirconium-based ceramic, inspired by AMG's disc brakes, and houses the famous in-house Caliber 80110.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Carrera/CAR2014.BA0796/24076/item/198822,Tag Heuer,Carrera,Carrera,CAR2014.BA0796,GBP,2515.00,2515.00,Retail Price: Discontinued,,"
Year
 2015
","
Box
Yes
","

Papers


Yes
","
Product code
198822
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Arabic
","
Water resistance
100 metres
","
                            In watch form, the Carrera has been in existence since 1964, and continued Heuer’s great legacy in providing racing drivers with timing instruments. Named after the intense ‘Carrera Panamericana’ road race of the 1950’s (which also gave its name to the eponymous Porsche), the Carrera continues to provide timing for some of the world’s most prestigious racing teams today. This recent addition to the Carrera fold fully embodies that racing heritage with its lovely, paired-down tribute to vintage timepieces. The watch uses TAG's famous 1887 movement, a smooth column-wheel chronograph that features a modern version of the remarkable oscillating pinion first patented by the brand in 1887.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%201950/PAM00441/23842/item/192983,Panerai,Luminor 1950,Luminor 1950,PAM00441,GBP,8250.00,8250.00,Retail Price: Discontinued," Brown 
","
Year
 2015
","
Box
Yes
","

Papers


Yes
","
Product code
192983
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Ceramic - Black
","
Bracelet material
Leather - Brown 
","
Dial type
Black Arabic
","
Water resistance
100 metres
","
                            Sleek, menacing and black as night, the PAM 441's dark allure is not the result of any external PVD or DLC. It's a fully ceramic case, much harder than steel and amazingly durable, the result of an exceptionally long and arduous process of diamond-wheel machining and microglass blasting to achieve the gorgeous matt finish. The material is too hard to mould and is originally created by extreme isostatic pressing of zirconium oxide followed by sintering at around 1,500°C. The beautiful in-house P.9000 movement has an impressive power reserve of three days and also features a GMT complication.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Hublot/Big%20Bang/709.ZM.1770.RX/19158/item/178473,Hublot,Big Bang,Big Bang,709.ZM.1770.RX,GBP,9500.00,9500.00,Retail Price: Discontinued," Black 
","
Year
 2010
","
Box
Yes
","

Papers


Yes
","
Product code
178473
","

Movement


Automatic
","
Case size
48 MM
","
Case material
Titanium
","
Bracelet material
Rubber - Black 
","
Dial type
Black Carbon
","
Water resistance
100 metres
","This Hublot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/IWC/Portugieser%20Automatic/IW500109/4266/item/203750,IWC,Portugieser Automatic,Portugieser Automatic,IW500109,GBP,6315.00,6315.00,Retail Price: Discontinued," Black
","
Year
 2011
","
Box
Yes
","

Papers


Yes
","
Product code
203750
","

Movement


Automatic
","
Case size
42.3 MM
","
Case material
Steel
","
Bracelet material
Crocodile - Black
","
Dial type
Black Arabic
","
Water resistance
30 metres
","
                            This gorgeous Portuguese Automatic has many excellent qualities, but perhaps the most interesting is the movement's power reserve. It's not just the impressive length of stored power, but also the technical ingenuity employed to go above and beyond the call of duty. The watch is engineered to come to an automatic stop after seven days, despite the fact that the actual power reserve is more like eight days. Why? This avoids relying on the last part of the mainspring's stored power, which would entail diminished torque and potential problems with consistent accuracy. When coupled with the Portuguese's handsome appearance and prestigious history, this watch is a very enticing offer indeed.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Galactic%2029/W72348/51757/item/192224,Breitling,Galactic 29,Galactic 29,W72348,GBP,2255.00,2255.00,"Retail Price: £3,310"," Blue 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
192224
","

Movement


Quartz
","
Case size
29 MM
","
Case material
Steel
","
Bracelet material
Leather - Blue 
","
Dial type
Blue Baton
","
Water resistance
100 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Bremont/Martin%20Baker/MBII-WH/OR/53869/item/209020,Bremont,Martin Baker,Martin Baker,MBII-WH/OR,GBP,3200.00,3200.00,Retail Price: Discontinued," Black 
","
Year
Approx.  2020
","
Box
Yes
","

Papers


No
","
Product code
209020
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
White Arabic
","
Water resistance
100 metres
","This Bremont has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Blancpain/Leman/2041-12A30-98A/52586/item/198981,Blancpain,Leman,Leman,2041-12A30-98A,GBP,14995.00,14995.00,Retail Price: Discontinued,,"
Year
 2008
","
Box
No
","

Papers


Yes
","
Product code
198981
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Titanium & Rose Gold
","
Bracelet material
Titanium & Rose Gold
","
Dial type
Black
","
Water resistance
100 metres
","This Blancpain has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Chopard/LUC/161928-1001/49362/item/175090,Chopard,LUC,LUC,161928-1001,GBP,14580.00,14580.00,Retail Price: Discontinued," Black
","
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
175090
","

Movement


Automatic
","
Case size
44 MM
","
Case material
White Gold
","
Bracelet material
Leather Alligator Grain - Black
","
Dial type
Silver Roman Numeral
","
Water resistance
100 metres
","This Chopard has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Harry%20Winston/Premier/PREAPC41W002/53337/item/206662,Harry Winston,Premier,Premier,PREAPC41W002,GBP,19995.00,19995.00,Retail Price: Discontinued," Black
","
Year
Approx.  1998
","
Box
Yes
","

Papers


No
","
Product code
206662
","

Movement


Automatic
","
Case size
41 MM
","
Case material
White Gold
","
Bracelet material
Crocodile - Black
","
Dial type
Silver
","
Water resistance
30 metres
","This Harry Winston has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
